,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
impedance,4.1803,4.1917,4.2091,4.2262,4.2475,4.2693,4.2901,4.3158,4.3455,4.3773,4.4137,4.451,4.4943,4.5411,4.5925,4.6482,4.7082,4.7719,4.8393,4.9115,4.9853,5.0611,5.14,5.2209,5.3022,5.3858,5.4677,5.5514,5.6315,5.7119,5.7885,5.8594,5.9284,5.9919,6.0542,6.1072,6.1557,6.2024,6.2388,6.272,6.3003,6.3234,6.3449,6.3553,6.3516,6.3286,6.2903,6.257,6.339,6.3116
impedance,3.9966,4.0051,4.0199,4.036,4.0538,4.0713,4.0921,4.1149,4.141,4.1701,4.2012,4.2365,4.2753,4.3183,4.3653,4.4168,4.4717,4.5318,4.5943,4.6602,4.73,4.801,4.8747,4.9491,5.0252,5.1012,5.178,5.2523,5.325,5.3947,5.4605,5.52,5.5761,5.6233,5.6718,5.7144,5.7531,5.7872,5.8162,5.8465,5.8701,5.8935,5.9146,5.9369,5.9586,5.9756,5.971,5.9034,5.8953,5.9805
impedance,3.7838,3.7907,3.8019,3.811,3.8274,3.8417,3.8541,3.8756,3.8944,3.9214,3.942,3.9718,4.0038,4.0387,4.0792,4.123,4.1694,4.22,4.2765,4.3334,4.3942,4.4595,4.5233,4.5897,4.6578,4.722,4.7857,4.8439,4.9024,4.9572,4.9959,5.0509,5.0851,5.1072,5.1369,5.1592,5.1769,5.1961,5.2109,5.2252,5.2329,5.2451,5.2558,5.2628,5.2807,5.3057,5.3562,5.3774,5.2918,
impedance,3.5459,3.5578,3.5614,3.572,3.588,3.5989,3.6156,3.6336,3.6532,3.6754,3.7026,3.7283,3.7602,3.7958,3.8328,3.8747,3.9205,3.9712,4.0228,4.0793,4.1381,4.1986,4.2589,4.3212,4.382,4.4397,4.4951,4.5462,4.5943,4.6351,4.6732,4.7063,4.7359,4.7578,4.7823,4.804,4.8194,4.8344,4.8451,4.8546,4.8638,4.8634,4.8602,4.8503,4.8349,4.8181,4.8186,4.8379,4.9014,4.8148
impedance,3.5729,3.5784,3.5885,3.5993,3.6105,3.6223,3.6374,3.6573,3.6759,3.6958,3.721,3.7469,3.7765,3.8107,3.8468,3.8883,3.933,3.9811,4.0332,4.0868,4.1437,4.2025,4.2604,4.3197,4.3787,4.4337,4.4858,4.534,4.5774,4.6154,4.6485,4.6806,4.705,4.7176,4.7366,4.7507,4.7642,4.7716,4.778,4.78,4.7787,4.7784,4.777,4.7743,4.7728,4.7796,4.8125,4.8592,4.8544,4.789
impedance,4.5195,4.5291,4.5436,4.5567,4.5689,4.5796,4.591,4.6077,4.6282,4.6497,4.6739,4.702,4.7343,4.7685,4.8084,4.8519,4.8999,4.9522,5.0074,5.0672,5.1286,5.193,5.2609,5.3286,5.4011,5.4733,5.5471,5.6217,5.6918,5.758,5.8235,5.8797,5.9259,5.9567,5.9859,6.0103,6.027,6.0372,6.0417,6.0392,6.0366,6.0248,6.0113,5.9977,5.9856,5.9841,,,,
impedance,3.7398,3.7446,3.7558,3.7657,3.7798,3.7924,3.8079,3.8264,3.8461,3.8714,3.8936,3.9227,3.9552,3.9891,4.0301,4.0709,4.1197,4.1713,4.226,4.2832,4.3455,4.4055,4.4719,4.537,4.6022,4.6639,4.7226,4.7783,4.8293,4.8763,4.9213,4.9544,4.9838,5.0081,5.0332,5.0548,5.0757,5.0929,5.1093,5.124,5.1369,5.1482,5.1581,5.1721,5.1894,5.2197,5.2678,5.2567,5.1669,5.2413
impedance,4.1791,4.1922,4.2079,4.2282,4.2478,4.2659,4.2894,4.3152,4.3448,4.3768,4.4117,4.4492,4.4921,4.5385,4.5899,4.6458,4.7061,4.7698,4.8358,4.908,4.9829,5.0573,5.1366,5.2179,5.2984,5.3805,5.4635,5.5477,5.627,5.7047,5.7819,5.8533,5.9184,5.9814,6.0415,6.0942,6.1433,6.1828,6.2223,6.2493,6.271,6.2874,6.2978,6.2936,6.276,6.2402,6.2057,6.2012,6.2878,6.2292
impedance,4.0124,4.0233,4.04,4.055,4.0757,4.0928,4.1138,4.1377,4.1664,4.1952,4.2293,4.2662,4.3063,4.3504,4.3992,4.4513,4.5086,4.5695,4.6344,4.7017,4.7724,4.8445,4.9199,4.9967,5.076,5.1544,5.2331,5.3125,5.3888,5.4649,5.5381,5.6053,5.6673,5.7236,5.7801,5.8287,5.87,5.9114,5.9443,5.9725,5.9959,6.0145,6.034,6.0458,6.0456,6.0296,5.9985,5.9485,6.0035,6.0024
impedance,3.4099,3.4171,3.4301,3.4411,3.4571,3.4742,3.4955,3.5212,3.5511,3.5859,3.6263,3.6726,3.7237,3.7793,3.8391,3.9009,3.9664,4.0309,4.0964,4.1586,4.219,4.2729,4.3208,4.3679,4.3976,4.4256,4.4491,4.4587,4.4699,4.4769,4.4828,4.4845,4.4844,4.4802,4.4755,4.47,4.4664,4.475,,,,,,,,,,,,
impedance,4.3061,4.3197,4.3345,4.3472,4.3685,4.3897,4.4081,4.4342,4.4616,4.4928,4.5251,4.5617,4.6026,4.6488,4.6989,4.7536,4.8118,4.8746,4.9409,5.0117,5.0828,5.1582,5.2358,5.3146,5.3955,5.4765,5.5577,5.6378,5.7199,5.7989,5.8759,5.9492,6.0151,6.0674,6.1241,6.1747,6.2155,6.2533,6.2831,6.3085,6.3266,6.3388,6.3526,6.365,6.383,6.4145,6.4837,6.5224,6.3993,6.4482
impedance,4.427,4.4354,4.4436,4.4557,4.4652,4.4778,4.4924,4.5086,4.5311,4.5538,4.5795,4.6078,4.6409,4.6791,4.7217,4.7672,4.8177,4.8728,4.9278,4.9902,5.0552,5.1214,5.1912,5.2626,5.3355,5.409,5.4836,5.5572,5.6274,5.6988,5.7609,5.8188,5.8709,5.9155,5.9591,5.994,6.0236,6.0515,6.0747,6.0966,6.1127,6.1282,6.1438,6.1579,6.1644,6.1503,6.1061,6.134,,
impedance,3.8271,3.8379,3.8484,3.8625,3.8765,3.8963,3.9145,3.9363,3.9606,3.9876,4.0162,4.0457,4.085,4.1256,4.1677,4.2161,4.2667,4.3224,4.38,4.444,4.5099,4.576,4.6455,4.7158,4.7847,4.8545,4.9202,4.985,5.0459,5.1003,5.1498,5.1977,5.2376,5.2729,5.3095,5.3393,5.3664,5.3895,5.4103,5.4283,5.4405,5.4498,5.4565,5.4512,5.4343,5.4118,5.3904,5.454,5.4606,5.3798
impedance,3.9724,3.9877,3.9999,4.0172,4.0358,4.0559,4.0748,4.098,4.1268,4.1538,4.1873,4.2212,4.2609,4.3039,4.35,4.4017,4.4574,4.517,4.579,4.6456,4.7135,4.7854,4.8589,4.9336,5.009,5.0847,5.1569,5.2278,5.2985,5.3647,5.4251,5.4793,5.5278,5.5653,5.6059,5.6388,5.6685,5.6892,5.7078,5.7211,5.7288,5.7321,5.7275,5.7192,5.7061,5.6994,5.7153,5.7479,,
